sex,age,race,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Male,69,Other,0,0,0,F,Aggravated Assault w/Firearm,1
Male,34,African-American,0,0,0,F,Felony Battery w/Prior Convict,0
Male,24,African-American,0,0,4,F,Possession of Cocaine,0
Male,23,African-American,0,1,1,F,Possession of Cannabis,1
Male,43,Other,0,0,2,F,arrest case no charge,1
Male,44,Other,0,0,0,M,Battery,1
Male,41,Caucasian,0,0,14,F,Possession Burglary Tools,0
Male,43,Other,0,0,3,F,arrest case no charge,1
Female,39,Caucasian,0,0,0,M,Battery,1
Male,27,Caucasian,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",1
Male,23,African-American,0,0,3,M,Battery,0
Female,37,Caucasian,0,0,0,M,Battery,1
Male,41,African-American,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Female,47,Caucasian,0,0,1,F,arrest case no charge,0
Male,31,African-American,0,0,7,F,Felony Driving While Lic Suspd,0
Male,37,Hispanic,0,0,0,M,Battery,1
Male,25,African-American,0,0,3,F,Grand Theft in the 3rd Degree,1
Male,31,Caucasian,0,0,6,F,Driving While License Revoked,0
Male,31,Caucasian,0,0,5,F,Possession Of Heroin,0
Male,64,African-American,0,0,13,F,arrest case no charge,0
Male,21,African-American,0,0,1,F,Battery on Law Enforc Officer,0
Male,27,Caucasian,0,0,0,M,Possession Of Methamphetamine,0
Female,21,Caucasian,0,0,0,F,Introduce Contraband Into Jail,1
Male,24,Hispanic,0,0,1,F,Lewd/Lasc Battery Pers 12+/<16,0
Male,43,Caucasian,0,0,1,M,Susp Drivers Lic 1st Offense,1
Male,32,Other,0,0,0,M,Battery,1
Male,27,African-American,0,0,8,F,Carrying Concealed Firearm,0
Female,36,Caucasian,0,0,3,F,arrest case no charge,1
Male,26,African-American,0,0,5,F,Pos Cannabis W/Intent Sel/Del,0
Male,33,African-American,0,0,0,F,Tampering With Physical Evidence,0
Male,30,Caucasian,0,0,9,F,Felony Battery w/Prior Convict,0
Male,55,Caucasian,0,0,0,F,arrest case no charge,1
Male,49,Other,0,0,7,F,Agg Fleeing and Eluding,0
Male,26,Caucasian,0,0,6,M,Operating W/O Valid License,1
Female,33,Caucasian,0,0,4,M,Battery,0
Male,24,Caucasian,0,0,1,M,Battery,0
Male,34,African-American,2,1,21,F,Poss Wep Conv Felon,0
Male,29,Caucasian,0,0,0,M,Possess Cannabis/20 Grams Or Less,1
Female,21,African-American,0,0,2,F,arrest case no charge,1
Male,51,African-American,0,0,2,M,Unlaw Use False Name/Identity,1
Male,29,Caucasian,0,0,2,M,Viol Injunct Domestic Violence,0
Female,51,African-American,0,0,7,F,Possession of Cocaine,1
Male,25,Caucasian,0,0,9,M,Battery,0
Male,35,African-American,1,0,13,F,Uttering a Forged Instrument,0
Male,49,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,34,African-American,0,0,4,M,Driving License Suspended,0
Male,29,African-American,0,0,0,F,Tampering With Physical Evidence,1
Male,29,Caucasian,0,0,1,F,Possession of Oxycodone,0
Female,28,Other,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,48,Caucasian,0,0,20,F,arrest case no charge,0
Female,63,Hispanic,0,0,1,F,arrest case no charge,1
Male,30,Hispanic,0,0,0,M,Possess Cannabis/20 Grams Or Less,1
Male,49,African-American,0,0,4,M,Battery,1
Male,53,Caucasian,0,0,8,F,arrest case no charge,1
Male,35,African-American,0,0,5,F,Driving While License Revoked,1
Male,63,African-American,0,0,10,M,Possess Drug Paraphernalia,0
Male,27,African-American,1,1,15,F,Driving While License Revoked,0
Male,38,Caucasian,0,0,4,M,Battery,0
Male,29,African-American,0,0,4,F,arrest case no charge,0
Male,62,Hispanic,0,0,0,M,Unlaw LicTag/Sticker Attach,1
Male,27,African-American,0,1,6,F,Aggravated Battery / Pregnant,0
Male,33,Other,0,0,0,M,Battery,1
Female,56,African-American,0,0,0,M,Battery,1
Male,45,Hispanic,0,0,6,F,Possession of Cocaine,0
Male,22,Hispanic,0,0,1,F,Burglary Structure Unoccup,1
Male,39,African-American,0,0,1,M,arrest case no charge,1
Male,27,Caucasian,0,0,1,F,arrest case no charge,0
Male,40,African-American,0,0,2,F,arrest case no charge,1
Male,22,African-American,0,0,1,M,Battery,0
Male,22,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,1
Female,26,African-American,0,0,1,F,Poss Cocaine/Intent To Del/Sel,0
Male,27,Caucasian,0,0,1,F,Burglary Dwelling Assault/Batt,0
Male,32,African-American,0,0,0,F,Felony Battery (Dom Strang),1
Male,41,African-American,0,0,1,M,arrest case no charge,1
Male,30,African-American,0,0,8,M,Possess Cannabis/20 Grams Or Less,0
Male,50,Other,0,0,0,F,arrest case no charge,0
Male,25,African-American,1,6,14,F,arrest case no charge,0
Male,20,Other,0,0,0,F,Tampering With Physical Evidence,0
Male,23,African-American,0,0,2,M,arrest case no charge,0
Female,35,African-American,0,0,1,M,arrest case no charge,1
Male,36,African-American,0,0,9,F,Deliver Cocaine,0
Male,26,Caucasian,0,0,7,F,Possession Burglary Tools,0
Male,21,Other,0,0,1,F,Grand Theft in the 3rd Degree,0
Male,25,Caucasian,0,0,9,F,Pos Cannabis W/Intent Sel/Del,0
Male,71,African-American,0,0,12,M,Possess Cannabis/20 Grams Or Less,1
Female,20,Caucasian,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Male,39,Caucasian,0,0,2,F,Possession Of Alprazolam,0
Female,54,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Female,44,Hispanic,0,0,0,M,Battery,1
Male,19,African-American,0,0,1,M,Battery,0
Male,24,African-American,0,0,1,F,arrest case no charge,1
Female,39,Caucasian,0,0,0,F,Aggravated Assault W/Dead Weap,0
Male,24,Caucasian,0,1,8,F,False Ownership Info/Pawn Item,0
Male,30,Caucasian,0,0,0,F,Possession Of Methamphetamine,1
Male,31,Caucasian,0,0,0,M,Battery,1
Male,59,African-American,0,0,14,F,arrest case no charge,0
Male,43,Caucasian,0,0,1,F,Possession of Cocaine,1
Male,21,African-American,0,0,3,F,Grand Theft in the 3rd Degree,0
Male,38,Caucasian,0,0,5,M,Possess Cannabis/20 Grams Or Less,0
Male,34,Caucasian,0,0,0,F,Aggravated Assault w/Firearm,1
Male,33,African-American,0,0,5,F,Poss Contr Subst W/o Prescript,0
Male,37,African-American,0,0,3,F,"Poss3,4 Methylenedioxymethcath",1
Male,42,Caucasian,0,0,1,F,Aggrav Stalking After Injunctn,0
Male,41,African-American,0,1,10,F,Possession of Cocaine,0
Male,22,African-American,0,0,0,F,Uttering a Forged Instrument,0
Male,33,African-American,0,12,28,F,Driving While License Revoked,0
Male,31,African-American,0,0,1,M,Battery,1
Female,30,Other,0,0,1,F,Crim Use of Personal ID Info,1
Male,31,Caucasian,0,0,13,F,arrest case no charge,0
Male,27,African-American,0,0,3,F,Possession of Cocaine,0
Male,56,African-American,0,0,8,F,arrest case no charge,1
Male,52,Caucasian,0,0,3,M,Battery,1
Male,33,African-American,0,0,19,F,arrest case no charge,0
Female,64,Caucasian,0,0,2,M,Resist/Obstruct W/O Violence,1
Male,22,Caucasian,0,0,4,F,Possession Of Alprazolam,0
Male,42,Caucasian,0,0,6,F,Possession Of Alprazolam,1
Female,25,Caucasian,0,0,2,F,arrest case no charge,1
Male,30,Caucasian,0,0,1,M,Agg Fleeing and Eluding,1
Male,28,Caucasian,0,0,2,F,arrest case no charge,1
Female,37,Other,0,0,2,M,Petit Theft,1
Male,28,Caucasian,0,0,0,M,Disorderly Intoxication,0
Female,24,African-American,0,0,0,M,Battery,1
Female,29,Caucasian,0,1,10,F,Grand Theft in the 3rd Degree,0
Male,44,Caucasian,0,0,2,M,Battery,0
Female,30,Hispanic,0,0,4,F,Battery on Law Enforc Officer,0
Male,32,African-American,0,0,3,F,Possession of Cocaine,0
Male,31,Caucasian,0,0,2,M,Resist/Obstruct W/O Violence,0
Male,59,Caucasian,0,0,1,F,Possession of Cocaine,0
Female,45,Caucasian,0,0,4,F,arrest case no charge,1
Female,20,African-American,1,0,1,F,arrest case no charge,1
Female,43,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,38,African-American,1,1,9,F,Possession of Cocaine,0
Male,32,African-American,0,0,11,F,Poss Pyrrolidinovalerophenone,0
Male,33,African-American,0,0,8,M,Assault,0
Female,31,African-American,0,0,0,F,Possession of Oxycodone,0
Female,33,African-American,0,0,7,F,Possession of Cocaine,0
Male,27,African-American,0,0,2,F,Tampering With Physical Evidence,0
Female,20,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,52,Other,0,0,13,F,Felony Petit Theft,0
Male,63,Hispanic,0,0,1,F,arrest case no charge,1
Female,32,African-American,0,0,4,F,arrest case no charge,0
Male,29,Hispanic,0,0,1,F,Grand Theft in the 3rd Degree,1
Female,26,African-American,0,0,2,M,Driving Under The Influence,0
Male,55,African-American,0,0,3,M,Battery,1
Male,30,African-American,0,0,1,F,Burglary Conveyance Assault/Bat,1
Male,48,Caucasian,0,0,2,M,Battery,1
Male,22,African-American,0,0,1,F,arrest case no charge,1
Male,46,Caucasian,0,0,6,F,Driving While License Revoked,0
Female,49,Caucasian,0,0,6,F,Crim Use of Personal ID Info,1
Male,31,Caucasian,0,0,0,F,"Deliver 3,4 Methylenediox",1
Male,25,African-American,0,0,1,M,Battery,0
Male,23,Hispanic,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Female,32,African-American,0,0,5,F,Aggravated Assault W/dead Weap,1
Male,52,Hispanic,0,0,2,M,Leave Acc/Attend Veh/More $50,1
Male,62,African-American,0,0,8,F,Possession of Cocaine,1
Female,37,Caucasian,0,0,6,F,Possession of Cocaine,1
Male,55,Caucasian,0,0,1,F,Grand Theft in the 3rd Degree,1
Male,31,Hispanic,0,0,8,F,arrest case no charge,0
Male,28,African-American,0,0,6,M,Resist/Obstruct W/O Violence,0
Male,54,Hispanic,0,0,2,F,Burglary Unoccupied Dwelling,1
Male,58,Hispanic,0,0,0,F,Possession Of Heroin,1
Male,78,Caucasian,0,0,1,M,Driving Under The Influence,0
Male,56,Caucasian,0,0,0,F,Possession of Cocaine,1
Male,24,Other,0,0,0,F,Burglary Unoccupied Dwelling,1
Male,38,African-American,2,2,22,F,Child Abuse,0
Male,22,African-American,0,0,1,F,Pos Cannabis W/Intent Sel/Del,0
Male,47,African-American,0,0,23,M,Possess Cannabis/20 Grams Or Less,0
Male,23,African-American,0,0,0,M,Battery,0
Male,57,Hispanic,0,0,1,F,Driving While License Revoked,1
Female,38,Caucasian,0,0,2,F,Possession of Cocaine,0
Male,66,African-American,0,0,3,F,Agg Battery Grt/Bod/Harm,1
Male,45,Caucasian,0,0,8,M,Viol Injunct Domestic Violence,0
Male,32,African-American,0,0,13,F,Poss Cocaine/Intent To Del/Sel,0
Male,37,African-American,0,0,2,M,Battery,0
Male,39,Caucasian,0,0,0,F,Possession Of Methamphetamine,0
Male,26,African-American,0,0,9,F,Deliver Cocaine,0
Male,45,Caucasian,0,0,2,F,Lewd or Lascivious Molestation,1
Male,23,African-American,0,0,0,F,Possession of Cannabis,0
Male,34,African-American,0,0,2,M,Battery,1
Female,23,African-American,0,0,1,M,Battery,1
Male,36,Other,0,0,2,M,Battery,0
Female,37,Caucasian,0,0,0,M,Leaving Acc/Unattended Veh,1
Male,44,Caucasian,0,0,4,M,Battery,1
Female,35,African-American,0,1,23,F,Felony Petit Theft,0
Male,24,Other,0,0,5,F,arrest case no charge,0
Male,26,African-American,0,0,2,F,Fleeing Or Attmp Eluding A Leo,0
Male,27,African-American,0,0,0,M,Criminal Mischief,1
Female,28,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Male,43,Caucasian,0,0,11,F,arrest case no charge,0
